A,,,,,
B,,LEBT1-LebanonTN,OHHT1-OLD_HICKORY,SMLK2-CumberlandR-SmithlandKY,KINT1-HarpethR-KingstonSpringsTN
C,UTC,Precip-Inc,Precip-Inc,Precip-Inc,Precip-Inc
E,,,,,
F,,dcp-rev,dcp-rev,dcp-rev,dcp-rev
Units,,in,in,in,in
Type,,PER-CUM,PER-CUM,PER-CUM,PER-CUM
1,30Apr2020  1900,0.00000,0.00000,0.00000,0.000
2,30Apr2020  1930,0.00000,0.00000,0.00000,0.000
3,30Apr2020  2000,0.00000,0.00000,0.00000,0.000
4,30Apr2020  2030,0.00000,0.00000,0.00000,0.000
5,30Apr2020  2100,0.00000,0.00000,0.00000,0.000
6,30Apr2020  2130,0.00000,0.00000,0.00000,0.000
7,30Apr2020  2200,0.00000,0.00000,0.00000,0.000
8,30Apr2020  2230,0.00000,0.00000,0.00000,0.000
9,30Apr2020  2300,0.00000,0.00000,0.00000,0.000
10,30Apr2020  2330,0.00000,0.00000,0.00000,0.000
11,01May2020  0000,0.00000,0.00000,0.00000,0.000
12,01May2020  0030,0.00000,0.00000,0.00000,0.000
13,01May2020  0100,0.00000,0.00000,0.00000,0.000
14,01May2020  0130,0.00000,0.00000,0.00000,0.000
15,01May2020  0200,0.00000,0.00000,0.00000,0.000
16,01May2020  0230,0.00000,0.00000,0.00000,0.000
17,01May2020  0300,0.00000,0.00000,0.00000,0.000
18,01May2020  0330,0.00000,0.00000,0.00000,0.000
19,01May2020  0400,0.00000,0.00000,0.00000,0.000
20,01May2020  0430,0.00000,0.00000,0.00000,0.000
21,01May2020  0500,0.00000,0.00000,0.00000,0.000
22,01May2020  0530,0.00000,0.00000,0.00000,0.000
23,01May2020  0600,0.00000,0.00000,0.00000,0.000
24,01May2020  0630,0.00000,0.00000,0.00000,0.000
25,01May2020  0700,0.00000,0.00000,0.00000,0.000
26,01May2020  0730,0.00000,0.00000,0.00000,0.000
27,01May2020  0800,0.00000,0.00000,0.00000,0.000
28,01May2020  0830,0.00000,0.00000,0.00000,0.000
29,01May2020  0900,0.00000,0.00000,0.00000,0.000
30,01May2020  0930,0.00000,0.00000,0.00000,0.000
31,01May2020  1000,0.00000,0.00000,0.00000,0.000
32,01May2020  1030,0.00000,0.00000,0.00000,0.000
33,01May2020  1100,0.00000,0.00000,0.00000,0.000
34,01May2020  1130,0.00000,0.00000,0.00000,0.000
35,01May2020  1200,0.00000,0.00000,0.00000,0.000
36,01May2020  1230,0.00000,0.00000,0.00000,0.000
37,01May2020  1300,0.00000,0.00000,0.00000,0.000
38,01May2020  1330,0.00000,0.00000,0.00000,0.000
39,01May2020  1400,0.00000,0.00000,0.00000,0.000
40,01May2020  1430,0.00000,0.00000,0.00000,0.000
41,01May2020  1500,0.00000,0.00000,0.00000,0.000
42,01May2020  1530,0.00000,0.00000,0.00000,0.000
43,01May2020  1600,0.00000,0.00000,0.00000,0.000
44,01May2020  1630,0.00000,0.00000,0.00000,0.000
45,01May2020  1700,0.00000,0.00000,0.00000,0.000
46,01May2020  1730,0.00000,0.00000,0.00000,0.000
47,01May2020  1800,0.00000,0.00000,0.00000,0.000
48,01May2020  1830,0.00000,0.00000,0.00000,0.000
49,01May2020  1900,0.00000,0.00000,0.00000,0.000
50,01May2020  1930,0.00000,0.00000,0.00000,0.000
51,01May2020  2000,0.00000,0.00000,0.00000,0.000
52,01May2020  2030,0.00000,0.00000,0.00000,0.000
53,01May2020  2100,0.00000,0.00000,0.00000,0.000
54,01May2020  2130,0.00000,0.00000,0.00000,0.000
55,01May2020  2200,0.00000,0.00000,0.00000,0.000
56,01May2020  2230,0.00000,0.00000,0.00000,0.000
57,01May2020  2300,0.00000,0.00000,0.00000,0.000
58,01May2020  2330,0.00000,0.00000,0.00000,0.000
59,02May2020  0000,0.00000,0.00000,0.00000,0.000
60,02May2020  0030,0.00000,0.00000,0.00000,0.000
61,02May2020  0100,0.00000,0.00000,0.00000,0.000
62,02May2020  0130,0.00000,0.00000,0.00000,0.000
63,02May2020  0200,0.00000,0.00000,0.00000,0.000
64,02May2020  0230,0.00000,0.00000,0.00000,0.000
65,02May2020  0300,0.00000,0.00000,0.00000,0.000
66,02May2020  0330,0.00000,0.00000,0.00000,0.000
67,02May2020  0400,0.00000,0.00000,0.00000,0.000
68,02May2020  0430,0.00000,0.00000,0.00000,0.000
69,02May2020  0500,0.00000,0.00000,0.00000,0.000
70,02May2020  0530,0.00000,0.00000,0.00000,0.000
71,02May2020  0600,0.00000,0.00000,0.00000,0.000
72,02May2020  0630,0.00000,0.00000,0.00000,0.000
73,02May2020  0700,0.00000,0.00000,0.00000,0.000
74,02May2020  0730,0.00000,0.00000,0.00000,0.000
75,02May2020  0800,0.00000,0.00000,0.00000,0.000
76,02May2020  0830,0.00000,0.00000,0.00000,0.000
77,02May2020  0900,0.00000,0.00000,0.00000,0.000
78,02May2020  0930,0.00000,0.00000,0.00000,0.000
79,02May2020  1000,0.00000,0.00000,0.00000,0.000
80,02May2020  1030,0.00000,0.00000,0.00000,0.000
81,02May2020  1100,0.00000,0.00000,0.00000,0.000
82,02May2020  1130,0.00000,0.00000,0.00000,0.000
83,02May2020  1200,0.00000,0.00000,0.00000,0.000
84,02May2020  1230,0.00000,0.00000,0.00000,0.000
85,02May2020  1300,0.00000,0.00000,0.00000,0.000
86,02May2020  1330,0.00000,0.00000,0.00000,0.000
87,02May2020  1400,0.00000,0.00000,0.00000,0.000
88,02May2020  1430,0.00000,0.00000,0.00000,0.000
89,02May2020  1500,0.00000,0.00000,0.00000,0.000
90,02May2020  1530,0.00000,0.00000,0.00000,0.000
91,02May2020  1600,0.00000,0.00000,0.00000,0.000
92,02May2020  1630,0.00000,0.00000,0.00000,0.000
93,02May2020  1700,0.00000,0.00000,0.00000,0.000
94,02May2020  1730,0.00000,0.00000,0.00000,0.000
95,02May2020  1800,0.00000,0.00000,0.00000,0.000
96,02May2020  1830,0.00000,0.00000,0.00000,0.000
97,02May2020  1900,0.00000,0.00000,0.00000,0.000
98,02May2020  1930,0.00000,0.00000,0.00000,0.000
99,02May2020  2000,0.00000,0.00000,0.00000,0.000
100,02May2020  2030,0.00000,0.00000,0.00000,0.000
101,02May2020  2100,0.00000,0.00000,0.00000,0.000
102,02May2020  2130,0.00000,0.00000,0.00000,0.000
103,02May2020  2200,0.00000,0.00000,0.00000,0.000
104,02May2020  2230,0.00000,0.00000,0.00000,0.000
105,02May2020  2300,0.00000,0.00000,0.00000,0.000
106,02May2020  2330,0.00000,0.00000,0.00000,0.000
107,03May2020  0000,0.00000,0.00000,0.00000,0.000
108,03May2020  0030,0.00000,0.00000,0.00000,0.000
109,03May2020  0100,0.00000,0.00000,0.00000,0.000
110,03May2020  0130,0.00000,0.00000,0.00000,0.000
111,03May2020  0200,0.00000,0.00000,0.00000,0.000
112,03May2020  0230,0.00000,0.00000,0.00000,0.000
113,03May2020  0300,0.00000,0.00000,0.00000,0.000
114,03May2020  0330,0.00000,0.00000,0.00000,0.000
115,03May2020  0400,0.00000,0.00000,0.00000,0.000
